0.058442	2.371710	2.379339	2.405279	0.070344	-0.173495	0.004425	4.974289	
0.134737	2.375677	2.376593	2.401007	0.138399	-0.196994	0.001984	4.979172	
0.049592	2.372320	2.381170	2.397955	0.103304	-0.221714	0.000458	4.976120	
0.022125	2.378729	2.379034	2.395514	0.104525	-0.240025	0.002289	4.976120	
-0.011749	2.376898	2.377813	2.394293	0.148470	-0.228428	0.004425	4.976730	
0.004120	2.379644	2.378424	2.389715	0.164950	-0.219578	0.006561	4.976425	
-0.020599	2.379339	2.378424	2.390631	0.144197	-0.205539	0.009003	4.977036	
-0.005035	2.377508	2.376593	2.389410	0.070039	-0.084382	0.011444	4.974594	
-0.015411	2.383001	2.376287	2.391546	0.018463	0.110018	0.009613	4.977036	
-0.001984	2.382696	2.376287	2.390020	0.040437	0.208896	0.005646	4.988327	
0.003204	2.384527	2.374151	2.390326	0.048676	0.207980	0.002289	4.976730	
0.109713	2.387579	2.374762	2.393377	0.052033	0.200656	-0.001068	4.976730	
0.022125	2.386969	2.375982	2.394598	0.131990	0.176852	-0.001373	4.972153	
0.084077	2.388800	2.375982	2.390936	0.221104	0.120394	0.002289	4.972153	
0.016937	2.387274	2.375372	2.390326	0.193637	0.058137	0.004120	4.977036	
0.058442	2.392157	2.375067	2.390020	0.066682	0.021210	0.004120	4.975510	
-0.019989	2.390631	2.375067	2.386969	-0.039216	0.031281	0.006256	4.976120	
-0.022430	2.393377	2.374151	2.388494	-0.052033	0.053559	0.005951	4.976730	
-0.020599	2.394293	2.375372	2.390020	0.012360	0.059358	0.005035	4.976425	
0.011749	2.396734	2.373541	2.390936	0.057221	0.069123	0.003204	4.977646	
-0.021210	2.398870	2.374762	2.391851	0.024567	0.082551	-0.003204	4.976730	
-0.002594	2.396734	2.374456	2.389105	0.003204	0.070039	-0.007172	4.976120	
-0.001678	2.400091	2.375067	2.390020	0.045014	0.038301	-0.007172	4.976120	
0.031587	2.400091	2.375677	2.390631	0.063630	0.018158	-0.006561	4.975510	
0.018768	2.403753	2.373846	2.389715	0.034638	0.014496	-0.005341	4.977951	
0.072480	2.403143	2.375372	2.384527	0.011444	0.011139	-0.003815	4.979172	
